Model,girders,span,numberofdiaphragms,girderspacing,maxXreaction,minendmoment,width,maxendmoment,Y,mindeflection,minXreaction,numberofgirders,maxmoment
TX_24_100_P01,"[1.5, 16, 2, 16, 0.5, 31.5]",100,5,7.3333,7187.863231900454,-246180.01580544922,24,243734.67453271113,45.0,-1.1019701997885007,-7187.863232352111,4,9045940.353214525
TX_24_100_P02,"[1.25, 16, 1.75, 16, 0.5, 33.5]",100,5,7.3333,6696.892268901825,-240870.6632361374,24,238592.08886071295,46.5,-1.1000954853473235,-6696.892269216457,4,9065240.697446713
TX_24_100_P03,"[1, 16, 1.375, 16, 0.5, 36.5]",100,5,7.3333,5935.250890776615,-229140.99463315355,24,227114.5740446322,48.88,-1.1147658849246906,-5935.083464029303,4,9072737.147877363
TX_24_100_R01,"[33, 291]",100,5,7.3333,8747.263168560909,-294145.49155181024,24,291152.10095422633,45.0,-0.9945353795250907,-8747.263165333045,4,9102739.016268227
TX_24_100_R02,"[36, 262]",100,5,7.3333,7911.787023465986,-285124.2032556402,24,282530.3598498167,46.5,-1.0361705168789224,-7911.78702414156,4,9116020.144099465
TX_24_100_R03,"[40, 215]",100,5,7.3333,6457.900302140195,-248873.33288421357,24,246647.82491237015,48.88,-1.1447464815326602,-6457.900299811075,4,9071117.79689031
TX_24_105_P01,"[1.5, 16, 2.125, 16, 0.5, 33.5]",105,6,7.3333,5434.74295492142,-197152.49580040827,24,195302.38242162575,47.12,-1.115841815211418,-5434.742955295107,4,9625102.737534324
TX_24_105_P02,"[1.125, 16, 1.625, 16, 0.5, 36.5]",105,6,7.3333,4595.562578464852,-178259.59089374167,24,176694.4244306664,49.25,-1.1621574876325356,-4595.562578622134,4,9615191.15510949
TX_24_105_R01,"[36, 302]",105,6,7.3333,6400.293084807997,-230951.36910361768,24,228864.42595359008,47.12,-1.0463069975247081,-6400.293076132234,4,9671588.969812319
TX_24_105_R02,"[40, 249]",105,6,7.3333,5166.31123888278,-199508.65521280258,24,197727.0052055446,49.25,-1.1642762996027949,-5166.311241654169,4,9628044.014275748
TX_24_110_P01,"[1.25, 16, 1.875, 16, 0.5, 36.5]",110,6,7.3333,4352.30169531512,-169629.3756359676,24,176581.65845777103,49.62,-1.2175571131417422,-4352.301695316797,4,10162843.324815072
TX_24_110_R01,"[40, 277]",110,6,7.3333,4894.499844125915,-189229.95929589903,24,187541.42965544644,49.62,-1.2162049342222105,-4894.499834756745,4,10171718.69312086
TX_24_115_P01,"[1.625, 16, 2.125, 16, 0.5, 36.5]",115,6,7.3333,4269.694813529711,-167735.85065857854,24,178189.2007963791,50.25,-1.2602885777681083,-4269.69481409064,4,10697111.2081553
TX_24_115_R01,"[40, 324]",115,6,7.3333,4988.82015845312,-193212.4979481357,24,191502.14912791824,50.25,-1.2105112429811022,-4988.8201575630155,4,10730726.362793416
TX_24_120_P01,"[1.75, 16, 2.375, 16, 0.5, 36.5]",120,6,7.3333,3989.0843925516897,-157448.5117461394,24,179381.52743351777,50.62,-1.3245585185212998,-3989.0843924530736,4,11228872.257951096
TX_24_120_R01,"[40, 362]",120,6,7.3333,4857.696052986558,-188412.12545978825,24,181000.75310873456,50.62,-1.2427805346982244,-4857.69604552159,4,11248493.130613934
TX_24_30_P01,"[1, 12, 1.25, 12, 0.5, 17]",30,3,7.3333,19204.392536865,-447946.7854608937,24,414602.42742293864,29.25,-0.09536475511290292,-19204.392536848012,4,1727891.5595329932
TX_24_30_P02,"[0.75, 12, 1.25, 12, 0.5, 19.5]",30,3,7.3333,17399.13304655524,-450053.21708309284,24,421331.24875581707,31.5,-0.08121907098392618,-17399.133046539275,4,1741344.7525698952
TX_24_30_P03,"[0.75, 12, 0.875, 12, 0.5, 22.5]",30,3,7.3333,16402.738971947518,-475439.33471634827,24,450772.7812952107,34.12,-0.08027857366407705,-16402.738971926574,4,1745170.4892475144
TX_24_30_P04,"[0.75, 14, 1, 14, 0.5, 25.5]",30,3,7.3333,15588.50407551178,-483782.1930067073,24,425085.3247502876,37.25,-0.05781118884253576,-15588.50407549652,4,1756339.4234664682
TX_24_30_P05,"[1, 15, 1.25, 15, 0.5, 28.5]",30,3,7.3333,14573.901634673477,-448499.1658974876,24,443240.1481290677,40.75,-0.041588079155394246,-14573.901634662943,4,1769505.7857682898
TX_24_30_P06,"[0.75, 12, 0.75, 12, 0.5, 31.5]",30,3,7.3333,13834.70810997,-516960.3055081637,24,494131.709771576,43.0,-0.0510765566477866,-13834.708109959065,4,1769304.3589698882
TX_24_30_P07,"[0.75, 12, 0.875, 12, 0.5, 34]",30,3,7.3333,13202.250747061393,-521881.4191770978,24,498320.8753561745,45.62,-0.042106423892787,-13202.250747048965,4,1775514.9207294085
TX_24_30_P08,"[0.75, 12, 1, 12, 0.5, 36.5]",30,3,7.3333,12529.229613424981,-522499.3616657501,24,478441.7824827373,48.25,-0.035323916036110306,-12529.229613417,4,1777533.4620034231
TX_24_30_R01,"[18, 130]",30,3,7.3333,21235.141074392744,-513422.78326315834,24,409483.4726109577,29.25,-0.08117289188711528,-21235.141074313105,4,1729301.5985102742
TX_24_30_R02,"[21, 122]",30,3,7.3333,19586.096339263007,-514100.770597983,24,479930.54711516516,31.5,-0.07664378856424384,-19586.09633922566,4,1744217.9054693975
TX_24_30_R03,"[24, 104]",30,3,7.3333,18326.792250024933,-533837.1941016007,24,506502.25399724836,34.12,-0.07624706647354636,-18326.79225001236,4,1748637.2822470823
TX_24_30_R04,"[27, 146]",30,3,7.3333,18145.894810035243,-554008.5671038044,24,494094.8738337211,37.25,-0.04888559176794122,-18145.894810001188,4,1762461.7667050331
TX_24_30_R05,"[30, 173]",30,3,7.3333,17238.880382943033,-523084.5404785034,24,516863.98113052605,40.75,-0.03593287155351493,-17238.88038284835,4,1771920.3450219575
TX_24_30_R06,"[33, 118]",30,3,7.3333,15924.717362590454,-592036.5000812573,24,565330.0048190788,43.0,-0.0452666577140887,-15924.717362565192,4,1773123.526845433
TX_24_30_R07,"[36, 135]",30,3,7.3333,15578.899385497814,-602189.8527416632,24,553534.6334792298,45.62,-0.03702099619059628,-15578.899385402865,4,1775796.6183162958
TX_24_30_R08,"[40, 149]",30,3,7.3333,15409.474147343753,-606299.508903563,24,585334.5266838378,48.25,-0.032904733403740394,-15409.47414732683,4,1781548.9212378727
TX_24_35_P01,"[1, 12, 1.25, 12, 0.5, 17]",35,3,7.3333,20961.733808948014,-488927.5801609951,24,452518.4916433,29.25,-0.1615425296834189,-20961.733808930258,4,2184294.898742958
TX_24_35_P02,"[0.75, 12, 1.25, 12, 0.5, 19.5]",35,3,7.3333,19039.787734058555,-492483.17050563113,24,461040.5718727554,31.5,-0.13754594729578626,-19039.78773405567,4,2207231.373698658
TX_24_35_P03,"[0.75, 12, 0.875, 12, 0.5, 22.5]",35,3,7.3333,17853.786764286077,-517494.53867014236,24,490635.239821775,34.12,-0.13624179205049536,-17853.786764285873,4,2213452.712051908
TX_24_35_P04,"[0.75, 14, 1, 14, 0.5, 25.5]",35,3,7.3333,17561.74859256486,-545011.0162868274,24,478859.7134015955,37.25,-0.09777867217832942,-17561.74859255858,4,2233888.6664988357
TX_24_35_P05,"[1, 15, 1.25, 15, 0.5, 28.5]",35,3,7.3333,16980.643638363526,-522532.98050088575,24,516403.29392009584,40.75,-0.06988190389476821,-16980.643638357076,4,2257928.98923466
TX_24_35_P06,"[0.75, 12, 0.75, 12, 0.5, 31.5]",35,3,7.3333,15576.43095008979,-582037.2625324168,24,556324.7712280547,43.0,-0.08653697280093627,-15576.430950092814,4,2256001.2574023646
TX_24_35_P07,"[0.75, 12, 0.875, 12, 0.5, 34]",35,3,7.3333,15127.954497371127,-597996.2781540455,24,570989.1510501894,45.62,-0.07110164741837063,-15127.954497369241,4,2267398.226525221
TX_24_35_P08,"[0.75, 12, 1, 12, 0.5, 36.5]",35,3,7.3333,14573.81418268397,-607754.401146558,24,556488.6536379232,48.25,-0.05939768412539824,-14573.81418267909,4,2271442.2891780455
TX_24_35_R01,"[18, 130]",35,3,7.3333,23194.954403547767,-560786.714855841,24,447214.7718058152,29.25,-0.14030874549493583,-23194.95440350753,4,2185176.225124862
TX_24_35_R02,"[21, 122]",35,3,7.3333,21178.629793110227,-555884.8011420663,24,518922.54532757966,31.5,-0.13265740345558416,-21178.629793114982,4,2210534.2627264205
TX_24_35_R03,"[24, 104]",35,3,7.3333,19683.964086280557,-573360.2143838415,24,543989.9981363954,34.12,-0.1320941418257278,-19683.96408610216,4,2217798.10271637
TX_24_35_R04,"[27, 146]",35,3,7.3333,20383.054668539247,-622288.8530560712,24,554967.1458961903,37.25,-0.0850552466033316,-20383.054668495486,4,2243288.8055819655
TX_24_35_R05,"[30, 173]",35,3,7.3333,19834.12764792782,-601791.4964500058,24,594632.3505684363,40.75,-0.06264078466765707,-19834.127647613146,4,2260652.0501413783
